"n_pokoj","metraz","cena_m2","rok","pietro","pietro_maks","dzielnica"
3,85.56,5493,1906,3,4,"Śródmieście"
4,125.1,7357,NA,4,6,"Śródmieście"
2,40.16,6698,2009,3,3,NA
2,45,6444,NA,2,4,"Krzyki"
3,69,6014,2009,2,5,"Psie Pole"
3,78.73,8370,1935,1,2,"Śródmieście"
4,90.46,5406,NA,2,2,"Krzyki"
3,91.87,5442,NA,1,5,"Śródmieście"
3,96.99,5980,NA,1,5,"Śródmieście"
3,71.4,5532,1993,1,5,"Śródmieście"
3,71,6197,1950,2,5,"Krzyki"
2,37,7027,2008,1,6,"Śródmieście"
3,65,4908,1980,4,4,"Krzyki"
4,83.35,5159,1985,9,11,"Krzyki"
2,66,8788,2009,5,7,"Fabryczna"
2,54,8130,2008,4,9,"Stare Miasto"
3,54,5093,NA,2,4,"Psie Pole"
3,85,5518,NA,2,4,"Śródmieście"
3,108.35,5445,NA,1,5,"Stare Miasto"
5,127.47,5091,NA,3,5,"Śródmieście"
3,57.5,5565,1971,0,0,"Stare Miasto"
2,56.5,5839,2005,1,3,"Krzyki"
2,38,5579,1989,4,4,"Psie Pole"
3,72,6097,2006,2,3,"Krzyki"
4,94,4777,2015,1,1,"Fabryczna"
3,63,5714,1999,2,3,"Krzyki"
2,56.5,5929,2005,1,3,"Krzyki"
2,45.83,8990,2010,1,2,"Śródmieście"
2,57,6491,2000,2,4,"Krzyki"
5,113,5743,2012,1,1,"Krzyki"
4,73,5849,1980,1,7,"Fabryczna"
3,60.74,7326,1990,1,6,"Krzyki"
2,67.23,8181,1790,1,3,"Stare Miasto"
2,62,11919,2012,5,6,"Stare Miasto"
3,63.07,5300,NA,1,2,"Fabryczna"
2,69.25,4950,NA,2,2,"Fabryczna"
2,90.63,4950,NA,2,2,"Fabryczna"
2,78.52,4950,NA,2,2,"Fabryczna"
2,71.74,4950,NA,2,2,"Fabryczna"
2,94.94,4950,NA,2,2,"Fabryczna"
3,97.95,4950,NA,2,2,"Fabryczna"
2,42.26,5786,NA,0,0,"Fabryczna"
2,43.21,5785,NA,0,0,"Fabryczna"
3,61.48,5530,NA,0,0,"Fabryczna"
2,44.93,5786,NA,0,0,"Fabryczna"
3,67.5,5763,NA,1,10,"Krzyki"
2,48.5,9897,NA,2,3,"Stare Miasto"
2,36,6083,1975,4,7,"Fabryczna"
2,31.29,6679,1933,3,3,"Fabryczna"
3,62,5129,1985,4,4,"Fabryczna"
3,106,5755,1901,1,5,"Śródmieście"
2,57.1,5762,2000,2,10,"Krzyki"
2,35.1,8519,1960,4,4,"Stare Miasto"
2,54.45,4389,NA,0,0,"Psie Pole"
3,76,8684,NA,0,0,"Psie Pole"
2,35.6,6601,1985,5,10,"Fabryczna"
4,87.6,5422,1930,3,4,"Śródmieście"
5,106,4245,NA,3,3,"Krzyki"
3,85,5518,1930,2,4,"Śródmieście"
4,69.03,5070,1995,3,4,"Stare Miasto"
3,70.5,5376,NA,0,0,"Fabryczna"
4,119,5294,NA,5,5,"Krzyki"
2,46,8587,2015,6,7,"Krzyki"
3,61.05,4586,1932,0,0,"Krzyki"
3,52.6,5702,1994,4,4,"Fabryczna"
2,53,6226,2009,2,2,"Krzyki"
3,56,5946,2009,0,0,"Fabryczna"
4,111.1,6697,2001,6,6,"Stare Miasto"
4,95,4621,1920,4,4,"Śródmieście"
4,116.9,7785,NA,5,6,"Śródmieście"
2,57,5246,2001,2,3,"Fabryczna"
2,70,7857,1750,2,3,"Stare Miasto"
3,76.31,6539,NA,1,5,"Śródmieście"
3,90.03,6054,NA,2,5,"Śródmieście"
3,76.38,5106,NA,0,0,"Śródmieście"
1,43.7,8924,NA,1,5,"Śródmieście"
3,61.9,5719,1994,1,4,"Krzyki"
2,52.4,5496,1982,7,7,"Fabryczna"
2,47,5298,2011,2,2,"Psie Pole"
2,55,5073,2015,0,0,"Psie Pole"
3,57,7000,2017,0,0,NA
2,59.51,4453,1930,3,4,NA
4,84.88,4595,1936,0,0,"Fabryczna"
3,129,4178,1930,1,4,"Stare Miasto"
3,79,7342,2009,2,4,"Krzyki"
2,53.04,4950,NA,2,2,"Fabryczna"
4,79.64,5273,NA,1,3,"Fabryczna"
4,67.58,5548,NA,1,3,"Fabryczna"
4,74.18,5257,NA,1,3,"Fabryczna"
2,42.18,5689,NA,1,3,"Fabryczna"
2,43.13,5912,NA,2,3,"Fabryczna"
4,73.93,5275,NA,2,3,"Fabryczna"
3,61.42,5426,NA,2,3,"Fabryczna"
3,49.47,5862,NA,3,3,"Fabryczna"
2,42.85,5834,NA,3,3,"Fabryczna"
4,73.57,5301,NA,3,3,"Fabryczna"
3,61.06,5458,NA,3,3,"Fabryczna"
2,34.19,5820,NA,3,3,"Fabryczna"
3,64.5,6667,2005,2,3,"Fabryczna"
3,70.4,5384,2007,0,0,"Fabryczna"
2,43.92,7400,2014,1,4,"Krzyki"
4,99.71,6017,2007,3,4,"Krzyki"
3,73,7260,2006,2,3,"Krzyki"
2,56,6071,1996,1,5,"Krzyki"
3,56,6607,1998,2,2,"Krzyki"
3,71.42,6721,NA,1,NA,"Krzyki"
3,56,6607,1998,2,2,"Fabryczna"
3,73,7329,2006,1,3,"Fabryczna"
2,56,6250,1996,1,5,"Krzyki"
3,56,6161,1974,2,4,"Stare Miasto"
4,72,4847,1990,7,10,"Krzyki"
4,72,4861,1992,7,10,"Krzyki"
3,50,6200,2008,2,2,"Fabryczna"
2,45.61,6336,NA,4,4,"Śródmieście"
2,52.64,5300,2007,2,2,"Krzyki"
4,87.38,5665,NA,3,3,"Krzyki"
2,48.2,5394,NA,0,0,"Krzyki"
4,78.76,6374,NA,1,2,"Krzyki"
2,53.6,5317,NA,1,2,"Psie Pole"
5,133.01,6466,NA,1,2,"Krzyki"
3,73.19,5260,NA,1,3,"Krzyki"
2,50.41,5316,NA,2,2,"Psie Pole"
2,67,6104,1900,2,5,"Stare Miasto"
2,38.2,6545,NA,3,NA,"Fabryczna"
2,83.5,4970,1910,4,4,"Stare Miasto"
2,58.8,5017,2011,5,5,"Fabryczna"
5,85.23,5573,1998,3,3,"Krzyki"
4,104,4798,1995,0,0,"Krzyki"
2,58.49,7900,2016,1,4,"Psie Pole"
3,69.48,5613,2003,0,0,"Fabryczna"
3,77.96,5900,2010,2,3,"Krzyki"
3,82.11,5115,2016,2,2,"Krzyki"
3,67,5373,1965,0,0,"Krzyki"
4,77.3,4774,1985,6,6,"Fabryczna"
4,67,5731,NA,5,10,"Fabryczna"
3,63.5,5118,1980,0,0,"Krzyki"
3,47,7213,1970,2,9,"Krzyki"
2,48.6,5700,NA,4,5,"Krzyki"
3,52,6058,1994,1,3,"Fabryczna"
2,55,5273,1997,3,5,"Śródmieście"
2,44.6,5830,NA,2,3,"Fabryczna"
2,43.68,6296,1900,1,4,"Śródmieście"
2,52.4,3798,NA,1,1,"Psie Pole"
3,62.5,5200,1984,9,10,"Krzyki"
3,67,5373,1960,0,0,"Krzyki"
3,61,5738,1967,11,11,"Stare Miasto"
3,76,4855,1930,1,2,"Psie Pole"
3,62,5629,1992,4,6,"Krzyki"
4,70,5143,1992,1,4,"Krzyki"
2,45,6889,NA,0,0,"Krzyki"
2,51,6176,2006,1,3,"Fabryczna"
3,58,6810,2014,2,2,"Fabryczna"
2,50,5900,1960,0,0,"Fabryczna"
2,40,6950,1975,10,10,"Stare Miasto"
2,68,5000,1920,1,4,"Krzyki"
2,50,5900,1960,0,0,"Fabryczna"
2,44,5750,NA,4,5,"Krzyki"
2,33,6818,NA,0,0,"Krzyki"
3,58,5845,1910,3,5,"Krzyki"
2,51,9784,1909,2,4,"Stare Miasto"
4,85,8588,2012,3,3,"Krzyki"
2,39.9,6967,1969,10,10,"Stare Miasto"
2,42,5786,1936,1,1,"Fabryczna"
2,72.32,4950,NA,2,2,"Fabryczna"
3,95.46,4950,NA,2,2,"Fabryczna"
2,42.09,5464,NA,1,3,"Fabryczna"
3,61.46,5423,NA,1,3,"Fabryczna"
2,44.63,5603,NA,1,3,"Fabryczna"
2,45.51,5603,NA,1,3,"Fabryczna"
4,82,4573,1980,2,3,"Fabryczna"
3,63,5127,1983,9,10,"Krzyki"
1,30,7000,2007,2,2,"Fabryczna"
4,119,2815,2015,1,1,NA
4,127,3307,2007,1,1,NA
3,61,5082,NA,1,1,"Krzyki"
2,47,6170,1970,4,4,"Śródmieście"
3,74,4730,1930,3,4,"Śródmieście"
3,49.3,5984,1972,6,10,"Stare Miasto"
4,90.5,4840,1991,6,6,"Śródmieście"
2,37,7973,NA,2,4,"Stare Miasto"
2,45,4422,1901,3,4,"Krzyki"
